Date,Open,High,Low,Close,Adj Close,Volume
2021-03-03,10.480000,10.720000,10.050000,10.150000,10.150000,14866300
2021-03-04,10.010000,10.370000,9.590000,9.840000,9.840000,26124100
2021-03-05,9.800000,9.850000,8.820000,9.450000,9.450000,23723400
2021-03-08,9.390000,10.020000,9.190000,9.750000,9.750000,16479500
2021-03-09,10.190000,10.680000,10.030000,10.450000,10.450000,21437800
2021-03-10,11.010000,11.010000,10.150000,10.340000,10.340000,23939100
2021-03-11,10.550000,10.800000,10.330000,10.700000,10.700000,12306200
2021-03-12,10.470000,11.930000,10.360000,11.850000,11.850000,25863200
2021-03-15,12.090000,12.520000,11.550000,11.680000,11.680000,25353500
2021-03-16,11.870000,12.200000,11.270000,11.460000,11.460000,19812400
2021-03-17,11.330000,11.660000,11.150000,11.600000,11.600000,9710500
2021-03-18,11.390000,11.470000,10.660000,10.760000,10.760000,11400300
2021-03-19,10.830000,11.170000,10.690000,10.950000,10.950000,10519100
2021-03-22,11.000000,11.340000,10.660000,10.710000,10.710000,7903600
2021-03-23,10.690000,10.690000,10.020000,10.070000,10.070000,12245500
2021-03-24,10.210000,10.220000,9.550000,9.580000,9.580000,12636100
2021-03-25,9.310000,9.970000,9.250000,9.880000,9.880000,14363900
2021-03-26,10.050000,10.050000,9.290000,9.630000,9.630000,13197200
2021-03-29,9.560000,9.670000,9.140000,9.200000,9.200000,13538000
2021-03-30,9.080000,9.410000,8.880000,9.340000,9.340000,17569600
2021-03-31,8.610000,8.730000,8.360000,8.430000,8.430000,32865200
2021-04-01,8.590000,8.890000,8.500000,8.600000,8.600000,14709900
2021-04-05,8.750000,9.340000,8.620000,9.300000,9.300000,18460000
2021-04-06,9.130000,9.280000,8.940000,8.990000,8.990000,9807300
2021-04-07,9.450000,9.510000,8.910000,8.910000,8.910000,16106100
2021-04-08,8.990000,9.590000,8.950000,9.440000,9.440000,11406800
2021-04-09,9.320000,9.420000,9.100000,9.130000,9.130000,6685200
